Species,Genome Size (bp)
Idiomarinaceae phage Phi1M2-2,36844
Pseudomonas phage MP42,36847
Streptococcus phage CHPC1246,36876
Streptococcus phage L5A1,36884
Pseudomonas phage MP38,36885
Lactococcus phage 1358,36892
Betalipothrixvirus pezzuloense,36895
Flavobacterium phage vB_FspS_tooticki6-1,36912
Streptococcus phage P7955,36931
Bacillus phage vB_BtS_BMBtp2,36932
Pseudomonas phage JBD69,36938
Pseudomonas phage JBD30,36947
Lactococcus phage bIL309,36949
Brochothrix phage NF5,36953
Lactobacillus phage phiJB,36969
Streptococcus phage P9854,36979
Streptococcus phage CHPC572,37005
Pseudomonas phage YMC12/01/R960,37011
Streptococcus phage CHPC1091,37028
Guinea pig adenovirus,37031
Pseudomonas phage vB_PaeS_PcyII-40_PfII40a,37033
Streptomyces phage phiSASD1,37068
Enterobacteria phage SfV,37074
Methanoculleus virus L4768,37078
Streptococcus phage CHPC869,37080
Pseudomonas phage JBD24,37095
Xuanwuvirus P884B11,37100
Methanobacterium virus Drs3,37129
Streptomyces phage Vondra,37129
Shigella phage SfMu,37146
Haemophilus phage SuMu,37151
Pseudomonas phage Dobby,37152
Streptococcus phage SW3,37181
Streptococcus phage 5093,37184
Streptococcus phage P7602,37202
Pseudoalteromonas phage HS1,37211
Propionibacterium phage B22,37219
Streptococcus phage SW2,37222
Streptococcus phage P5641,37235
Escherichia phage D108,37235
Burkholderia phage KS5,37236
Pseudomonas phage vB_PaeS_PAO1_Ab30,37238
Paenibacillus phage Diva,37246
Streptococcus phage IPP14,37252
Escherichia phage PEC14,37268
Streptococcus phage CHPC919,37281
Streptococcus phage phiNJ2,37282
Pasteurella phage PHB01,37287
Streptococcus phage CHPC927,37303
Sulfolobus filamentous virus 1,37311
Aeromonas phage vB_AsaM_LPM4,37312
Thalassomonas phage BA3,37313
Vibrio phage pYD38-B,37324
Dunaliella viridis virus SI2,37328
Pseudomonas phage H70,37359
Pseudomonas phage gh-1,37359
Bacillus phage vB_BanS_Athena,37369
Streptococcus phage Sfi19,37370
Arthrobacter phage vB_ArS-ArV2,37372
Pseudomonas phage F_HA0480sp/Pa1651,37374
Streptococcus phage phiBHN167,37375
Rhizobium phage RR1-B,37378
Pseudomonas phage JD024,37380
Streptococcus phage phiARI0468-4,37395
Streptomyces phage Eklok,37409
Pseudomonas phage F_ET309sp/Pa1651,37414
Corynebacterium phage EmiRose,37429
Propionibacterium phage Doucette,37429
Burkholderia phage phiE255,37446
Bacillus phage TP21-L,37456
Pseudomonas phage vB_PaeS_PAO1_HW12,37496
Streptomyces phage Eastland,37536
Streptomyces phage Piccadilly,37544
Bat mastadenovirus WIV9,37545
Polaribacter phage Leef_1,37547
uncultured phage_MedDCM-OCT-S30-C28,37553
Yersinia phage phiA1122,37555
Bat mastadenovirus WIV10,37556
Streptomyces phage Cumberbatch,37566
Pseudomonas phage AIIMS-Pa-B1,37578
Escherichia phage 520873,37583
Streptococcus phage P7952,37594
Enterobacteria phage mEp235,37595
Streptococcus phage CHPC1005,37598
Pseudomonas phage D3112,37611
Streptomyces phage SV1,37612
Listeria phage PSA,37618
Streptococcus phage SpGS-1,37631
Burkholderia phage KS10,37635
Burkholderia phage phiE52237,37639
Paenibacillus phage PG1,37644
Klebsiella phage JY917,37655
Clostridium phage phiCD6356,37664
Lactococcus phage TP901-1,37667
Yersinia phage YpP-Y,37714
Streptococcus phage P7573,37715
Burkholderia phage phiE094,37727
Pseudomonas phage Spike,37729
Pseudoalteromonas phage HS5,37730
Pseudomonas phage JBD5,37740
Streptococcus phage D1024,37757
Streptococcus phage IPP39,37761
Streptomyces phage AxeJC,37765
Escherichia phage vB_EcoP_K,37775
Arthrobacter phage Shoya,37783
Arthrobacter phage Galaxy,37809
Streptomyces phage Ididsumtinwong,37817
Pseudomonas phage JBD26,37840
Streptococcus phage IPP55,37847
Streptococcus phage IPP48,37848
Enterococcus phage phiFL4A,37856
Paenibacillus phage Tadhana,37880
Enterococcus phage SANTOR1,37933
Paenibacillus phage Lucielle,37947
Listonella phage phiHSIC,37966
Streptococcus phage IPP66,37969
Bacillus phage Fah,37974
Streptococcus phage T12,37976
Paenibacillus phage Rani,37990
Paenibacillus phage Willow,37994
Paenibacillus phage Fern,37995
Lactobacillus phage ATCC8014,38002
Pediococcus phage cIP1,38013
Flavobacterium phage vB_FspS_filifjonk9-1,38028
Burkholderia phage Mana,38038
Aeropyrum pernix spindle-shaped virus 1,38049
Haloferax tailed virus 1,38059
Propionibacterium phage E6,38067
Bacillus phage Gamma,38067
Propionibacterium phage PFR1,38071
Bat mastadenovirus WIV11,38073
Alteromonas phage ZP6,38080
Delftia phage IME-DE1,38084
Sulfolobales Beppu filamentous virus 2,38091
Clostridium phage phiSM101,38092
Thermus phage phi OH2,38099
Pseudomonas phage Fc02,38122
Listeria phage A006,38124
Flavobacterium phage vB_FspS_sniff9-1,38134
Streptomyces phage Ignacio,38137
Streptococcus phage P4761,38139
Betalipothrixvirus puteoliense,38179
Streptomyces phage mu1/6,38194
Vibrio phage VP882,38197
Enterobacteria phage T7M,38202
Enterobacteria phage T3,38209
Flavobacterium phage vB_FspS_snork6-1,38214
Pseudomonas phage H71,38223
Streptomyces phage HFrancette,38234
Lactobacillus phage KC5a,38239
Clostridium phage phiCT19406B,38243
Clostridium phage phiCTC2B,38243
Yangshan Harbor Nitrososphaeria virus,38245
Brucella phage Pr,38253
Streptococcus phage vB_SthS_VA214,38253
Pseudomonas phage Fc22,38255
Streptococcus phage CHPC873,38258
Paracoccus phage Shpa,38261
Flavobacterium phage vB_FspS_lillamy9-1,38268
Lactobacillus phage phi jlb1,38269
Listeria phage LP-030-2,38275
Yersinia phage YpsP-G,38288
Enterobacteria phage HK620,38297
Clostridium phage phiCP34O,38309
Arthrobacter phage Coral,38317
Klebsiella phage ST16-OXA48phi5.4,38322
Prochlorococcus phage MED4-184,38327
Clostridium phage phiCP13O,38329
Mycobacterium phage IdentityCrisis,38341
Lactococcus phage Tuc2009,38347
Salmonella phage Vi06,38368
Vibrio phage VBM1,38374
Streptococcus phage CHPC1248,38383
Lactobacillus prophage Lj928,38384
Flavobacterium phage vB_FspS_morran9-1,38385
Enterobacteria phage SfI,38389
Yersinia phage fPS-59,38391
Streptococcus phage DCC1738,38392
Listeria phage vB_LmoS_188,38392
Enterobacteria phage vB_EcoP_IME390,38396
Streptomyces phage PapayaSalad,38411
Lactobacillus phage T25,38421
Pseudomonas phage B3,38439
Arthrobacter phage Kepler,38449
Morganella phage MmP1,38457
Vibrio phage N4,38497
Flavobacterium phage vB_FspS_mymlan6-1,38501
Flavobacterium phage vB_FspS_stinky9-1,38502
Salmonella phage vB_SAg-RPN15,38505
Stenotrophomonas phage IME15,38513
Paenibacillus phage Jacopo,38526
Flavobacterium phage vB_FspS_mumin9-1,38527
Streptococcus phage phi3396,38528
Streptococcus phage CHPC663,38531
Bacillus phage F16Ba,38554
Propionibacterium phage G4,38555
Yersinia phage Berlin,38564
Staphylococcus phage phiSa2wa_st22,38576
Pseudomonas phage H72,38579
Serratia phage vB_SmaS_Rovert,38613
Yersinia phage Yep-phi,38616
Citrobacter phage phiCFP-1,38625
Yersinia phage vB_YenP_AP5,38646
Bacillus phage phi4B1,38663
Pasteurella phage vB_PmuP_PHB02,38670
Paenibacillus phage Eltigre,38675
Yersinia phage Yepe2,38677
Vibrio phage VvAW1,38682
Salmonella phage SPN1S,38684
Microbacterium phage Appa,38684
Psittacine adenovirus 1,38694
Leuconostoc phage phiMH1,38709
Ralstonia phage phiITL-1,38731
Enterobacteria phage Sf101,38742
Lactobacillus phage CL2,38751
Clostridium phage phiCP39-O,38753
Escherichia phage mEpX2,38759
Ralstonia phage RSA1,38760
Enterococcus phage phiFL1A,38764
Bacillus phage phiCM3,38772
Rhodovulum phage vB_RhkS_P1,38773
Cellulophaga phage phi17:1,38776
Arthrobacter phage Andrew,38802
Escherichia phage CICC 80001,38810
Salmonella phage phiSG-JL2,38815
Microbacterium phage Schubert,38820
Salmonella phage 3A_8767,38821
Escherichia phage YZ1,38823
Cyanophage MED4-117,38834
Streptococcus phage CHPC1041,38840
Escherichia phage 13a,38841
Arthrobacter phage Kuleana,38850
Listeria phage A500,38867
Lactobacillus phage PL-1,38880
Enterococcus phage vB_EfaS_IME196,38886
Celeribacter phage P12053L,38889
Escherichia phage ECA2,38890
Streptococcus phage IPP54,38900
Lactobacillus phage Lv-1,38934
Escherichia phage HK542,38964
Cronobacter phage Dev2,38966
Bacillus phage vB_BhaS-171,38975
Escherichia phage LM33_P1,38979
Tetraselmis viridis virus S20,38987
Liberibacter phage SC2,38997
Cronobacter phage ENT39118,39012
Pseudomonas phage JD18,39014
Pseudomonas phage Ps59,39020
Escherichia phage HK446,39026
Yersinia phage fPS-9,39034
Flavobacterium phage vB_FspS_hemulen6-1,39039
Shigella phage Sf6,39043
Streptococcus phage IPP65,39046
Leclercia phage 10164-302,39064
Streptococcus phage CHPC1148,39069
Geobacillus phage GBK2,39078
Klebsiella phage ST13-OXA48phi12.1,39086
Escherichia phage PE3-1,39093
Escherichia phage phiV10,39104
Clostridium phage vB_CpeS-CP51,39108
Arthrobacter phage Abidatro,39122
Enterobacter phage phiEap-1,39133
Streptococcus phage PH15,39136
Cellulophaga phage phi12:1,39148
Citrobacter phage SH2,39158
Ralstonia phage Dina,39161
Vibrio phage ICP3,39162
Lactobacillus phage phiAT3,39166
Escherichia phage 500465-1,39179
Clostridium phage phiCP26F,39188
Cellulophaga phage phi18:1,39189
Pseudomonas phage Pf1 ERZ-2017,39195
Pseudomonas phage F10,39199
Citrobacter phage CR44b,39207
Yersinia phage phiYe-F10,39210
Pseudomonas phage UNO-SLW1,39215
Serratia phage 2050H2,39216
Yersinia phage vB_YenP_AP10,39235
Escherichia phage 64795_ec1,39235
Halomonas phage phiHAP-1,39245
Escherichia phage EcoDS1,39252
Flavobacterium phage vB_FspS_hattifnatt9-1,39262
Escherichia phage N30,39266
Escherichia phage 285P,39270
Citrobacter phage SH4,39274
Erwinia phage vB_EamP-L1,39282
Rhodobacter phage RcapMu,39283
Flavobacterium phage 1H,39290
Gordonia phage Santhid,39295
Escherichia phage vB_EcoP_F,39300
Microbacterium phage Pikmin,39307
Ralstonia phage RsoM1USA,39309
Bacillus phage phi105,39325
Streptococcus phage K13,39360
Flavobacterium phage vB_FspS_snusmum6-1,39365
Escherichia phage LL2,39382
Streptococcus phage CHPC1230,39384
Lactobacillus phage iLp84,39399
Bacillus phage z1a,39399
Microbacterium phage Koji,39403
Vibrio phage phiVC8,39422
Salmonella phage vB_STy-RN5i1,39433
Citrobacter phage SH1,39434
Citrobacter phage SH3,39444
Arthrobacter phage MargaretKali,39448
Kluyvera phage Kvp1,39472
Lactobacillus phage CL1,39474
Rhodococcus phage REQ3,39474
Escherichia phage HZ2R8,39482
Paenibacillus phage BN12,39485
Vibrio phage VP4,39503
Streptomyces phage Picard,39522
Vibrio phage J2,39530
Streptomyces phage Dubu,39535
Escherichia phage NC-A,39536
Bacillus phage AP631,39549
Escherichia phage C5,39551
Pseudomonas phage JBD25,39552
Pseudomonas phage phi15,39562
Rhodobacter phage RC1,39573
Enterococcus phage phiFL3A,39576
Betalipothrixvirus pozzuoliense,39577
Escherichia phage mEp234,39578
Pseudomonas phage vB_PaeS_PM105,39593
Yersinia phage phiYeO3-12,39600
Morganella phage vB_MmoP_MP2,39616
Staphylococcus phage 187,39620
Ralstonia phage RPSC1,39628
Serratia phage SM9-3Y,39631
Bacillus phage Pascal,39639
Propionibacterium phage PFR2,39640
Microbacterium phage Golden,39640
Klebsiella phage ST437-OXA245phi4.1,39642
Enterobacteria phage IME10,39646
Yersinia phage PYPS50,39648
Winogradskyella phage Peternella_1,39649
Citrobacter phage CR8,39651
Bacillus phage vB_BanS_Booya,39660
Salmonella phage epsilon15,39672
Pseudomonas phage Ps60,39676
Salmonella phage BSP161,39688
Escherichia phage ST31,39693
Cronobacter phage GW1,39695
Salmonella phage BP12A,39696
Dickeya phage Ninurta,39699
Pseudomonas phage vB_Pae-SS2019XII,39701
Escherichia phage K1F,39704
Pseudomonas phage vB_Pae_CF78a,39705
Streptococcus phage D4276,39707
Vibrio phage QH,39725
Escherichia phage HK97,39732
Microbacterium phage Footloose,39738
Ralstonia phage Firinga,39744
Escherichia phage Vec13,39747
Bacillus Phage vB_BanS_McSteamy,39748
Escherichia phage Ebrios,39752
Shigella phage SfIV,39758
Enterobacter phage EcpYZU01,39767
Paenibacillus phage Likha,39778
Salmonella phage vB_SemP_Emek,39783
Halorubrum virus CGphi46,39784
Vibrio phage VP5,39786
Pectobacterium phage PP74,39790
Klebsiella phage VLCpiS11a,39791
Escherichia phage Ro45lw,39793
Serratia phage Tsm2,39799
Staphylococcus phage SN8,39803
Streptococcus phage Sfi11,39807
Escherichia phage BA14,39816
Escherichia phage vB_EcoP_S523,39825
Bacillus phage Pony,39844
Vibrio phage VP2,39853
Serratia phage vB_SmaM-Otaku,39857
Erwinia phage FE44,39860
Bacteriophage APSE-2,39867
Bacillus phage BalMu-1,39873
Bacillus phage Page,39874
Streptococcus phage VS-2018a,39878
Escherichia phage SRT7,39883
Burkholderia phage KS9,39896
Roseobacter phage SIO1,39898
Salmonella phage UPF_BP1,39902
Klebsiella phage vB_KpnP_IME321,39906
Pectobacterium phage PPWS4,39906
Escherichia phage EG1,39919
Pelagibacter phage HTVC011P,39921
Microbacterium phage Armstrong,39928
Escherichia phage T7,39937
Pseudoalteromonas phage TW1,39940
Pseudoalteromonas phage BS5,39949
Acinetobacter phage vB_AbaP_D2,39964
Streptococcus phage CHPC877,39965
Streptococcus phage IC1,39965
Cronobacter phage phiES15,39974
Mycobacterium phage Leo,39981
Lactobacillus phage Lrm1,39989
Bacillus phage Palmer,40000
Ralstonia phage RSY1,40002
Lactococcus phage BK5-T,40003
Pseudomonas phage Andromeda,40008
Streptococcus phage 315.6,40014
Bacillus phage Pavlov,40024
Enterobacteria phage mEp390,40029
Paenibacillus phage Pagassa,40035
Streptococcus phage CHPC1062,40037
Klebsiella phage 2044-307w,40048
Liberibacter phage SC1,40048
Shigella phage VB_Ship_A7,40058
Pseudomonas phage Bf7,40058
Escherichia phage IMM-002,40060
Vibrio phage vB_VpP_BT-1011,40065
Staphylococcus phage StB27,40071
Yersinia phage fPS-54-ocr,40075
Staphylococcus phage vB_SpsM_WIS42,40093
Klebsiella phage vB_Kp1,40114
Salmonella phage SPN9CC,40128
Dickeya phage vB_DsoP_JA10,40131
Pectobacterium phage DU_PP_II,40142
Staphylococcus phage SP276,40147
Salmonella phage ST64B,40149
Escherichia phage HK544,40155
Shewanella sp. phage 3/49,40161
Klebsiella phage K5-4,40163
Lentibacter phage vB_LenP_ICBM1,40163
Bacillus phage Carmel_SA,40165
Shewanella phage vB_SspM_M16-3,40166
Pseudomonas phage PspYZU08,40184
Lactobacillus prophage Lj965,40190
Pseudomonas phage Phi-S1,40192
Bacillus phage Pookie,40214
Pseudomonas phage WRT,40214
Rhodovulum phage RS1,40231
Klebsiella phage KN1-1,40236
Pseudomonas phage 17A,40242
Streptococcus phage MM1,40248
Lactococcus phage PLgT-1,40273
Enterococcus phage EFC-1,40286
Stenotrophomonas phage S1,40287
Escherichia phage ZG49,40291
Listeria phage LP-HM00113468,40298
Arthrobacter phage Kumotta,40317
Klebsiella phage KP32_isolate 196,40337
Klebsiella phage Henu1,40352
Corynebacterium phage Poushou,40353
Bacillus phage J5a,40353
Microbacterium phage Eleri,40366
Bacillus phage Negev_SA,40375
Shigella phage SFPH2,40387
Klebsiella phage vB_KpnP_KpV767,40395
Bacillus phage Tavor_SA,40397
Streptococcus phage CHPC640,40404
Acinetobacter phage WCHABP5,40409
Ralstonia phage RSB2,40411
Dickeya phage Katbat,40441
Salmonella phage 103203_sal5,40443
Arthrobacter phage BaileyBlu,40447
Staphylococcus phage P630,40448
Paenibacillus phage Wanderer,40448
Pseudomonas phage shl2,40466
Escherichia phage ECP1,40469
Escherichia phage GA2A,40470
Ralstonia phage RSK1,40471
Pseudomonas phage phiPSA2,40472
Streptomyces phage TG1,40474
Escherichia phage P694,40477
Dickeya phage Dagda,40484
Rhodobacter phage RcapNL,40489
Enterobacter phage phiEap-2,40491
Pseudomonas phage KNP,40491
Acinetobacter phage SH-Ab 15519,40493
Streptococcus phage phiARI0462,40498
Lederbergvirus BTP1,40525
Pseudomonas phage phiPsa17,40525
Staphylococcus phage SP120,40530
Klebsiella phage kpssk3,40539
Streptococcus phage P9,40539
Klebsiella phage KP32_isolate 195,40540
Flavobacterium phage vB_FspS_tant8-1,40542
Salmonella phage vB_STM-ZS,40542
Gordonia phage Tarzan,40547
Aquamicrobium phage P14,40551
Pectobacterium phage Jarilo,40552
Burkholderia phage KL3,40555
Pseudomonas phage VSW-3,40556
uncultured phage_MedDCM-OCT-S45-C18,40564
Microbacterium phage Franklin22,40567
Acinetobacter phage phiAB6,40570
Klebsiella phage SH-Kp 152234,40578
Gordonia phage Jojo24,40579
Mycobacterium phage Rebel,40580
Staphylococcus phage SA97,40592
Acinetobacter phage vB_AbaP_B3,40598
Klebsiella phage Pharr,40599
Klebsiella phage vB_KpnP_PRA33,40605
Paenibacillus phage PBL1c,40611
Salmonella phage SHWT1,40629
Klebsiella phage KP32_isolate 192,40635
Dickeya phage Mysterion,40651
Ralstonia phage DU_RP_I,40657
Cyanophage KBS-S-2A,40658
Staphylococcus phage StB20-like,40670
Salmonella phage ST64T,40679
Enterococcus phage IME-EF4,40692
Yersinia phage fPS-53,40694
Salicola phage CGphi29,40695
Enterobacteria phage HK140,40710
Lactobacillus phage BH1,40721
Streptomyces phage Darolandstone,40725
Dickeya phage Luksen,40729
Salmonella phage fmb-p1,40731
Acinetobacter phage Petty,40739
Streptococcus phage Sfi21,40739
Salmonella phage SEN34,40740
Salmonella phage wast,40748
Acinetobacter phage vB_AbaS_TRS1,40749
Escherichia phage HK022,40751
Pectobacterium phage PP81,40751
Streptococcus phage YMC-2011,40758
Listeria phage vB_LmoS_293,40759
Staphylococcus phage P954,40761
Klebsiella phage vB_KpnP_KpV763,40765
Paenibacillus phage Kawika,40769
Salmonella phage SLMP1,40781
Streptomyces phage Raleigh,40785
Enterococcus phage vB_EfaS_AL3,40789
Salmonella phage SS3e,40793
Psychrobacter phage pOW20-A,40803
Aeromonas phage pAEv1818,40808
Pseudomonas phage 22PfluR64PP,40822
Escherichia phage P483,40829
Microbacterium phage Eden,40833
Listeria phage A118,40834
Enterococcus phage vB_EfaS_AL2,40836
Edwardsiella phage Edno5,40844
Anoxybacillus phage A403,40847
Sulfolobales virus YNP1,40860
Geobacillus virus E2,40863
uncultured phage_MedDCM-OCT-S28-C10,40866
Bacillus phage WBeta,40867
Arthrobacter phage Tweety19,40873
Acinetobacter phage vB_AbaP_B1,40879
Lactobacillus prophage Lj771,40881
Microbacterium phage Albright,40883
Acinetobacter phage AbKT21phiIII,40898
Sulfolobus islandicus filamentous virus,40900
Lentibacter phage vB_LenP_ICBM2,40907
Pseudomonas phage PFP1,40914
Staphylococcus phage StB20,40917
Enterococcus phage EfaCPT1,40923
Pseudomonas phage Henninger,40923
Sulfitobacter phage pCB2047-A,40929
Psittacine aviadenovirus B,40930
Lactobacillus phage J-1,40931
Sulfitobacter phage pCB2047-C,40931
Enterococcus phage LY0322,40934
Phormidium phage Pf-WMP4,40938
Acinetobacter phage vB_AbaP_PD-AB9,40938
Escherichia phage K30,40940
Klebsiella phage SH-Kp 152410,40945
Staphylococcus phage UPMK_2,40955
Pseudomonas phage phiIBB-PF7A,40973
Salmonella phage g341c,40975
Escherichia phage J8-65,40981
Salmonella phage ST160,40986
Salmonella phage vB_SenS_SE1,40987
Pectobacterium phage PP47,40995
Microbacterium phage Abigail,41003
